IATA,Airport Name,Latitude,Longitude
GHU,Gualeguaychú Airport,-33.0103,-58.6131
HOS,Chos Malal Airport,-37.4446,-70.2225
PEH,Comodoro Pedro Zanni Airport,-35.8456,-61.8576
NEC,Necochea Airport,-38.4831,-58.8172
PMQ,Perito Moreno Airport,-46.5379,-70.9787
FMA,Formosa International Airport,-26.2127,-58.2283
CNQ,Corrientes International Airport,-27.4455,-58.7619
RGA,Hermes Quijada International Airport,-53.7777,-67.7494
EMX,El Maitén Airport,-42.0333,-71.3
CVH,Caviahue Airport,-37.9203,-71.1395
LPG,La Plata Airport,-34.9722,-57.8947
QRF,Teniente Benjamin Matienzo Airport,-34.7294,-58.2631
RLO,Valle del Conlara Airport,-32.3843,-65.0815
EPA,El Palomar Airport,-34.6099,-58.6126
MJR,Miramar Airport,-38.0192,-57.5733
CPC,Aviador Carlos Campos Airport,-40.0754,-71.1373
CPG,Carmen de Patagones Airport,-40.7822,-62.9817
RCQ,Reconquista Airport,-29.2103,-59.68
CTC,Catamarca International Airport,-28.5932,-65.7517
AFA,San Rafael Airport,-34.5882,-68.4039
CSZ,Brigadier Hector Eduardo Ruiz Airport,-37.4461,-61.8893
SGV,Sierra Grande Airport,-41.5913,-65.3394
VDM,Gobernador Castello Airport,-40.8692,-63.0004
RZA,Santa Cruz Airport,-50.0165,-68.5792
EQS,Brigadier Antonio Parodi Airport,-42.9072,-71.1395
OES,Antoine de Saint Exupéry Airport,-40.7512,-65.0343
JNI,Junín Airport,-34.5459,-60.9306
MDQ,Ástor Piazzolla International Airport,-37.9342,-57.5733
RDS,Rincon De Los Sauces Airport,-37.3907,-68.9042
LMD,La Madrid Airport,-35.4936,-64.2422
PRQ,Termal Airport,-26.8526,-60.6146
CNT,Charata Airport,-27.2183,-61.2286
IRJ,Capitán Vicente Almandos Amonacid Airport,-29.3816,-66.7958
APZ,Zapala Airport,-38.9755,-70.1136
VLG,Villa Gesell Airport,-37.2354,-57.0292
LUQ,Brigadier Mayor César Raúl Ojeda Airport,-33.2732,-66.3564
PUD,Paso de los Libres Airport,-29.6892,-57.1518
CUT,Cutral Có Airport,-38.9397,-69.2647
EHL,El Bolsón Airport,-41.9432,-71.5323
VME,Villa Reynolds Airport,-33.7299,-65.3878
BHI,Comandante Espora Airport,-38.725,-62.1693
TUC,Teniente General Benjamín Matienzo International Airport,-26.8409,-65.1049
RGL,Piloto Civil Norberto Fernández International Airport,-51.6089,-69.3126
OVR,Olavarría Airport,-36.8899,-60.2168
REL,Almirante Marcos A. Zar Airport,-43.2105,-65.2703
JSM,José de San Martín Airport,-44.0481,-70.4585
NCJ,Sunchales Aeroclub Airport,-30.8925,-61.8969
OYA,Goya Airport,-29.1058,-59.2186
ORA,Orán Airport,-23.1528,-64.3294
NQN,Presidente Perón International Airport,-38.949,-68.1557
EZE,Ministro Pistarini International Airport,-34.8222,-58.5358
UZU,Curuzú Cuatiá Airport,-29.7706,-58.2819
ULA,Capitán José Daniel Vazquez Airport,-49.3068,-67.8026
LLS,Alferez Armando Rodríguez Airport,-24.7211,-60.5488
AEP,Aeroparque Jorge Newbery,-34.5615,-58.4156
CCT,Colonia Catriel Airport,-37.8535,-67.8295
LCM,La Cumbre Airport,-31.011,-64.5323
RYO,Las Leñas Airport,-35.1667,-70.1333
MQD,Maquinchao Airport,-41.2494,-68.7522
RSA,Santa Rosa Airport,-36.5889,-64.2757
OYO,Tres Arroyos Airport,-38.3869,-60.3297
SDE,Vicecomodoro Ángel de la Paz Aragonés Airport,-27.7656,-64.3103
PSS,Libertador General José de San Martín Airport,-27.3858,-55.9707
TTG,Tartagal Airport,-22.6192,-63.7937
PMY,El Tehuelche Airport,-42.7592,-65.1027
BRC,San Carlos de Bariloche Airport,-41.1512,-71.1575
RCU,Las Higueras Airport,-33.1669,-64.3499
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,-31.3236,-64.208
LCP,La Calderilla Airport,-24.855,-65.4862
RHD,Termas de Río Hondo international Airport,-27.5099,-64.9367
SST,Santa Teresita Airport,-36.5423,-56.7218
IGR,Cataratas del Iguazú International Airport,-25.7373,-54.4734
COC,Comodoro Pierrestegui Airport,-31.2969,-58.0783
GGS,Gobernador Gregores Airport,-48.7831,-70.1503
OLN,Olinto L. de la Vega Airport,-40.9678,-68.2331
MDX,Mercedes Airport,-28.0378,-58.7673
CLX,Clorinda Airport,-25.2969,-57.7225
ROS,Rosario – Islas Malvinas International Airport,-32.9036,-60.785
FDO,San Fernando Airport,-34.4532,-58.5896
SLA,Martín Miguel de Güemes International Airport,-24.856,-65.4862
ELO,Eldorado Airport,-26.3975,-54.5747
TDL,Héroes De Malvinas Airport,-37.2374,-59.2279
USH,Ushuaia – Malvinas Argentinas International Airport,-54.8433,-68.2945
ROY,Rio Mayo Airport,-45.7033,-70.2473
CRD,General Enrique Mosconi International Airport,-45.7853,-67.4655
VCF,Valcheta Airport,-40.701,-66.1667
PRA,General Justo José de Urquiza Airport,-31.7948,-60.4804
MDZ,Governor Francisco Gabrielli International Airport,-32.8317,-68.7929
ARR,General Enrique Mosconi Airport,-45.0138,-70.8122
GNR,Dr. Arturo Umberto Illia Airport,-39.0016,-67.6205
LHS,Las Heras Airport,-46.5383,-68.9653
CRR,Ceres Airport,-29.8965,-61.8626
UAQ,Domingo Faustino Sarmiento Airport,-31.5709,-68.4182
VDR,Villa Dolores Airport,-31.9415,-65.1466
MCS,Monte Caseros Airport,-30.2719,-57.6402
AOL,Paso de los Libres Airport,-29.6892,-57.1518
IGB,Ingeniero Alberto R. del Valle Airport,-24.1858,-65.0447
RAF,Rafaela Airport,-31.2829,-61.5045
SZQ,Saenz Peña Airport,-26.7996,-60.4932
ING,Lago Argentino Airport,-50.3369,-72.2486
FTE,Comandante Armando Tola International Airport,-50.2803,-72.0531
GPO,General Pico Airport,-35.6964,-63.7583
RES,Resistencia International Airport,-27.4498,-59.0561
VGS,General Villegas Airport,-35.1223,-63.2572
SFN,Sauce Viejo Airport,-31.7117,-60.8117
LGS,Comodoro D. Ricardo Salomón Airport,-35.4933,-69.5742
CVI,Caleta Olivia Airport,-46.4333,-67.5
