,EventId,Type,Severity,StartTime(UTC),Precipitation(in),AirportCode,LocationLat,LocationLng,City,County,State
3828588,W-4038934,Rain,Light,2016-01-06 13:41:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828589,W-4038935,Rain,Light,2016-01-06 18:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828590,W-4038936,Rain,Light,2016-01-06 23:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828591,W-4038937,Rain,Light,2016-01-07 01:11:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828592,W-4038938,Precipitation,UNK,2016-01-07 02:16:00,1.21,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828593,W-4038939,Rain,Moderate,2016-01-07 03:24:00,0.27,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828594,W-4038940,Rain,Light,2016-01-07 05:49:00,0.09,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828595,W-4038941,Fog,Severe,2016-01-07 07:51:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828596,W-4038942,Rain,Light,2016-01-07 08:53:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828597,W-4038943,Fog,Severe,2016-01-07 10:40:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828598,W-4038944,Rain,Light,2016-01-07 12:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828599,W-4038945,Fog,Severe,2016-01-07 13:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828600,W-4038946,Fog,Moderate,2016-01-08 12:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828601,W-4038947,Rain,Light,2016-01-09 14:48:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828602,W-4038948,Rain,Light,2016-01-16 19:53:00,0.03,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828603,W-4038949,Rain,Light,2016-01-21 10:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828604,W-4038950,Rain,Light,2016-01-21 14:51:00,0.01,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828605,W-4038951,Rain,Light,2016-01-21 17:16:00,0.12,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828606,W-4038952,Rain,Light,2016-02-06 06:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828607,W-4038953,Rain,Light,2016-02-06 14:22:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828608,W-4038954,Rain,Light,2016-02-15 13:18:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828609,W-4038955,Rain,Light,2016-02-21 19:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828610,W-4038956,Fog,Moderate,2016-02-21 23:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828611,W-4038957,Rain,Light,2016-02-22 00:07:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828612,W-4038958,Rain,Light,2016-02-22 04:08:00,0.1,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828613,W-4038959,Rain,Moderate,2016-02-22 04:53:00,0.11,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828614,W-4038960,Rain,Light,2016-02-22 05:24:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828615,W-4038961,Rain,Moderate,2016-02-22 05:37:00,0.37,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828616,W-4038962,Rain,Light,2016-02-22 06:00:00,0.09,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828617,W-4038963,Rain,Light,2016-02-22 08:53:00,0.02,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828618,W-4038964,Rain,Light,2016-02-23 07:22:00,0.05,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828619,W-4038965,Rain,Moderate,2016-02-23 07:28:00,0.4,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828620,W-4038966,Rain,Heavy,2016-02-23 07:45:00,0.64,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828621,W-4038967,Rain,Light,2016-02-23 08:03:00,0.04,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828622,W-4038968,Rain,Moderate,2016-02-23 08:53:00,0.25,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828623,W-4038969,Rain,Heavy,2016-02-23 09:53:00,0.31,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828624,W-4038970,Rain,Moderate,2016-02-23 10:07:00,0.27,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828625,W-4038971,Rain,Light,2016-02-23 11:20:00,0.03,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828626,W-4038972,Rain,Light,2016-02-23 13:53:00,0.08,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828627,W-4038973,Rain,Heavy,2016-02-23 15:53:00,0.32,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828628,W-4038974,Rain,Light,2016-02-23 16:00:00,0.46,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828629,W-4038975,Rain,Light,2016-02-24 00:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828630,W-4038976,Fog,Moderate,2016-02-29 17:24:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828631,W-4038977,Rain,Light,2016-03-07 15:13:00,0.06,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828632,W-4038978,Rain,Light,2016-03-08 01:33:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828633,W-4038979,Rain,Light,2016-03-08 03:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828634,W-4038980,Rain,Light,2016-03-08 08:53:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828635,W-4038981,Rain,Light,2016-03-08 11:53:00,0.03,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828636,W-4038982,Rain,Light,2016-03-08 14:22:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828637,W-4038983,Storm,Severe,2016-03-08 14:41:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
3828638,W-4038984,Fog,Severe,2016-03-08 14:45:00,0.0,KDFW,32.8974,-97.022,Dallas,Dallas,TX
