EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3490323,Snow,Moderate,1/1/22 2:53,1/1/22 4:53,0.11,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490324,Snow,Light,1/1/22 4:53,1/1/22 20:06,0.22,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490325,Snow,Light,1/5/22 21:40,1/6/22 0:45,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490326,Snow,Moderate,1/6/22 0:45,1/6/22 1:22,0.07,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490327,Snow,Light,1/6/22 1:22,1/6/22 1:44,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490328,Snow,Moderate,1/6/22 1:44,1/6/22 3:53,0.1,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490329,Snow,Light,1/6/22 3:53,1/6/22 14:53,0.14,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490330,Snow,Light,1/9/22 1:14,1/9/22 1:41,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490331,Fog,Severe,1/9/22 10:47,1/9/22 11:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490332,Fog,Severe,1/9/22 12:53,1/9/22 16:17,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490333,Snow,Light,1/14/22 21:28,1/14/22 22:27,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490334,Fog,Severe,1/19/22 11:44,1/19/22 13:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490335,Snow,Light,1/19/22 21:48,1/19/22 23:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490336,Snow,Light,1/20/22 0:44,1/20/22 1:35,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490337,Snow,Light,1/20/22 2:50,1/20/22 6:45,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490338,Fog,Severe,1/20/22 13:41,1/20/22 13:47,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490339,Snow,Light,1/20/22 13:53,1/20/22 15:43,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490340,Fog,Severe,1/20/22 15:43,1/20/22 15:55,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490341,Fog,Severe,1/20/22 22:53,1/21/22 2:42,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490342,Snow,Light,1/21/22 2:42,1/21/22 2:53,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490343,Fog,Severe,1/21/22 2:53,1/21/22 3:02,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490344,Snow,Light,1/21/22 3:02,1/21/22 3:14,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490345,Fog,Severe,1/21/22 3:14,1/21/22 5:13,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490346,Fog,Severe,1/21/22 7:53,1/21/22 8:02,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490347,Fog,Severe,1/21/22 13:36,1/21/22 16:24,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490348,Snow,Light,1/21/22 19:03,1/21/22 21:53,0.01,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490349,Fog,Severe,1/21/22 21:53,1/21/22 22:21,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490350,Snow,Light,1/21/22 22:21,1/21/22 23:38,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490351,Fog,Severe,1/21/22 23:38,1/22/22 0:49,0,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490352,Snow,Light,1/25/22 10:30,1/25/22 12:53,0.03,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490353,Snow,Moderate,1/25/22 12:53,1/25/22 14:16,0.21,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490354,Snow,Light,1/25/22 14:16,1/25/22 14:53,0.02,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
W-3490355,Snow,Moderate,1/25/22 14:53,1/25/22 15:01,0.04,US/Mountain,KDEN,39.8466,-104.6562,Denver,Denver,CO,80249
