,EventId,Type,Severity,StartTime(UTC),Precipitation(in),AirportCode,LocationLat,LocationLng,City,County,State
1352454,W-1426760,Rain,Light,2016-01-06 15:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352455,W-1426761,Rain,Light,2016-01-07 01:39:00,0.21,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352456,W-1426762,Rain,Light,2016-01-07 02:18:00,0.08,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352457,W-1426763,Rain,Heavy,2016-01-07 02:41:00,0.83,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352458,W-1426764,Rain,Moderate,2016-01-07 03:06:00,0.32,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352459,W-1426765,Rain,Light,2016-01-07 04:26:00,0.31,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352460,W-1426766,Fog,Severe,2016-01-07 10:25:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352461,W-1426767,Rain,Light,2016-01-09 08:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352462,W-1426768,Rain,Light,2016-01-16 20:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352463,W-1426769,Rain,Light,2016-01-21 14:40:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352464,W-1426770,Rain,Light,2016-01-21 16:11:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352465,W-1426771,Rain,Moderate,2016-01-21 17:33:00,0.37,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352466,W-1426772,Rain,Light,2016-01-21 18:53:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352467,W-1426773,Rain,Light,2016-01-21 19:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352468,W-1426774,Rain,Light,2016-01-21 20:53:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352469,W-1426775,Rain,Light,2016-02-06 06:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352470,W-1426776,Rain,Light,2016-02-21 22:53:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352471,W-1426777,Rain,Light,2016-02-21 23:42:00,0.01,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352472,W-1426778,Rain,Moderate,2016-02-22 04:53:00,0.15,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352473,W-1426779,Rain,Light,2016-02-22 05:53:00,0.03,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352474,W-1426780,Rain,Moderate,2016-02-22 06:34:00,0.25,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352475,W-1426781,Rain,Light,2016-02-22 07:10:00,0.06,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352476,W-1426782,Rain,Moderate,2016-02-22 07:53:00,0.12,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352477,W-1426783,Rain,Light,2016-02-22 08:42:00,0.02,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352478,W-1426784,Rain,Light,2016-02-22 10:53:00,0.09,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352479,W-1426785,Rain,Moderate,2016-02-23 07:53:00,0.1,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352480,W-1426786,Rain,Light,2016-02-23 08:13:00,0.08,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352481,W-1426787,Rain,Moderate,2016-02-23 08:24:00,0.41,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352482,W-1426788,Rain,Light,2016-02-23 09:03:00,0.05,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352483,W-1426789,Rain,Moderate,2016-02-23 09:34:00,1.2,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352484,W-1426790,Rain,Light,2016-02-23 12:19:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352485,W-1426791,Rain,Light,2016-02-23 14:53:00,0.11,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352486,W-1426792,Rain,Moderate,2016-02-23 15:53:00,0.1,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352487,W-1426793,Rain,Light,2016-02-23 16:39:00,0.24,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352488,W-1426794,Rain,Light,2016-02-23 20:32:00,0.13,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
1352489,W-1426795,Rain,Light,2016-02-24 02:53:00,0.0,KRBD,32.6809,-96.8682,Dallas,Dallas,TX
