EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-4041689,Rain,Light,1/1/22 5:41,1/1/22 8:53,0.05,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041690,Rain,Light,1/1/22 11:53,1/1/22 12:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041691,Rain,Light,1/8/22 13:53,1/8/22 14:42,0.02,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041692,Fog,Severe,1/8/22 15:39,1/8/22 18:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041693,Rain,Light,1/8/22 18:53,1/8/22 20:34,0.02,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041694,Fog,Severe,1/8/22 20:57,1/9/22 3:33,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041695,Fog,Severe,1/9/22 16:53,1/9/22 17:05,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041696,Rain,Light,1/9/22 17:05,1/9/22 17:26,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041697,Storm,Severe,1/15/22 10:53,1/15/22 11:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041698,Snow,Light,1/15/22 19:23,1/15/22 20:24,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041699,Rain,Light,1/19/22 14:53,1/19/22 16:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041700,Rain,Light,1/24/22 19:53,1/24/22 21:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041701,Fog,Severe,1/25/22 8:53,1/25/22 10:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041702,Rain,Light,1/27/22 3:53,1/27/22 4:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041703,Rain,Light,2/2/22 22:40,2/3/22 0:46,0.2,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041704,Rain,Moderate,2/3/22 0:46,2/3/22 0:55,0.46,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041705,Rain,Light,2/3/22 0:55,2/3/22 1:20,0.04,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041706,Rain,Moderate,2/3/22 1:53,2/3/22 2:18,0.2,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041707,Rain,Light,2/3/22 4:14,2/3/22 4:53,0.07,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041708,Rain,Moderate,2/3/22 4:53,2/3/22 4:56,0.11,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041709,Rain,Light,2/3/22 4:56,2/3/22 5:22,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041710,Rain,Light,2/3/22 6:13,2/3/22 6:53,0.05,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041711,Snow,Light,2/3/22 9:37,2/3/22 11:27,0.05,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041712,Snow,Moderate,2/3/22 11:27,2/3/22 11:53,0.05,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041713,Snow,Heavy,2/3/22 11:53,2/3/22 12:53,0.08,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041714,Snow,Moderate,2/3/22 12:53,2/3/22 13:07,0.03,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041715,Snow,Light,2/3/22 13:07,2/3/22 14:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041716,Snow,Heavy,2/3/22 14:53,2/3/22 15:23,0.39,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041717,Snow,Moderate,2/3/22 15:23,2/3/22 15:34,0.04,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041718,Snow,Heavy,2/3/22 15:34,2/3/22 16:08,0.93,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041719,Snow,Light,2/3/22 16:08,2/3/22 16:23,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041720,Snow,Moderate,2/3/22 16:23,2/3/22 16:34,0.04,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041721,Snow,Heavy,2/3/22 16:34,2/3/22 18:06,7.47,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041722,Snow,Light,2/3/22 18:06,2/3/22 19:34,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041723,Snow,Light,2/3/22 23:07,2/4/22 0:11,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041724,Snow,Light,2/12/22 14:36,2/12/22 14:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041725,Rain,Light,2/17/22 0:53,2/17/22 1:10,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041726,Rain,Light,2/17/22 9:53,2/17/22 10:53,0.19,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041727,Rain,Light,2/22/22 5:20,2/22/22 5:34,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041728,Rain,Light,2/22/22 5:53,2/22/22 6:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041729,Rain,Light,2/22/22 8:53,2/22/22 9:20,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041730,Rain,Light,2/22/22 9:44,2/22/22 9:53,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041731,Rain,Moderate,2/22/22 10:00,2/22/22 10:30,0.19,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041732,Rain,Heavy,2/22/22 10:30,2/22/22 10:53,0.31,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041733,Precipitation,UNK,2/22/22 10:53,2/22/22 11:53,0.31,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041734,Rain,Light,2/23/22 10:41,2/23/22 11:10,0.13,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041735,Rain,Light,2/23/22 13:07,2/23/22 13:21,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
W-4041736,Rain,Light,2/23/22 14:21,2/23/22 14:27,0,US/Central,KDFW,32.8974,-97.022,Dallas,Dallas,TX,75261
