date,tavg,tmin,tmax,prcp,snow
1/1/22,11.8,10.5,13.1,0.1,0
1/2/22,10.5,8.5,11.5,3,0
1/3/22,8.3,7.1,9.7,0,0
1/4/22,3.8,0.2,7,2.5,0
1/5/22,1.6,-0.4,4.6,0,0
1/6/22,1.4,-2.7,5.4,3.5,0
1/7/22,2.9,0.9,4.7,0,0
1/8/22,4.9,0.8,8.5,6.2,0
1/9/22,3.6,1.9,6,0,0
1/10/22,4.5,2.3,6.6,0,0
1/11/22,7.3,6,8.3,1.6,0
1/12/22,3.8,1.5,5.9,0,0
1/13/22,3.2,1,6.9,0,0
1/14/22,2.3,0.4,5.4,0,0
1/15/22,2.8,1.2,5.4,0,0
1/16/22,4.6,2.7,7.2,0.3,0
1/17/22,3,0.7,6.9,0,0
1/18/22,2.4,0.4,5.3,0,0
1/19/22,4.3,2.3,7.5,0.1,0
1/20/22,1.6,-0.6,3.9,0,0
1/21/22,1.4,-1.6,4.7,0,0
1/22/22,2.7,0.6,6,0,0
1/23/22,2.5,1.2,4.3,0,0
1/24/22,2.4,0.6,4.6,0,0
1/25/22,0.7,-0.4,2.7,0,0
1/26/22,2.8,0,5.8,0,0
1/27/22,6.6,4.1,10,0,0
1/28/22,5.1,2,7.8,0,0
1/29/22,9.5,5.5,12.1,0,0
1/30/22,4.5,1.6,6.7,0.3,0
1/31/22,5.1,3,6.9,0.5,0
2/1/22,8.8,4,11.6,0.4,0
2/2/22,9.2,6.9,11,0,0
2/3/22,7.8,6.8,10,0,0
2/4/22,5.8,2.5,7.9,3.9,0
2/5/22,5.1,1.1,8.4,0,0
2/6/22,8.1,5,9.2,5.5,0
2/7/22,5.7,2.3,8.2,0.2,0
2/8/22,9.2,7.6,11.5,0,0
2/9/22,8.9,7.5,11.3,2.5,0
2/10/22,4.9,1.7,7.3,0.5,0
2/11/22,3.1,0.4,6.9,0,0
2/12/22,4.7,2.7,7.1,0,0
2/13/22,7.4,5.8,9,9,0
2/14/22,6.8,4.5,8.5,1.1,0
2/15/22,6,2.2,8.7,9,0
2/16/22,12.4,9.1,14.5,2.4,0
2/17/22,8.1,6.4,10,0.1,0
2/18/22,7.2,3,10,2.6,0
2/19/22,4.5,2,7,4.5,0
2/20/22,9,5.2,11.4,3.9,0
2/21/22,6.5,3.7,10,0,0
2/22/22,7.7,4.5,11.9,0.2,0
2/23/22,6.3,2.8,9.5,0.1,0
2/24/22,5.5,2.4,7.3,5.3,0
2/25/22,5.2,2.7,9.3,0.1,0
2/26/22,4.9,1.7,9.3,0,0
2/27/22,4.5,1.6,8.4,0,0
2/28/22,7.9,4.5,10.8,1.8,0
3/1/22,7.5,6.5,9,7.8,0
3/2/22,5.9,4.9,6.5,9.7,0
3/3/22,7.6,4.5,10.9,0.1,0
3/4/22,6.5,3.9,8.1,3.2,0
3/5/22,4.2,3.2,5.7,3.7,0
3/6/22,3,1.4,5.3,0.1,0
3/7/22,2.8,0.9,5.3,0.3,0
3/8/22,4.7,0.1,9.8,0,0
3/9/22,8.4,6.2,11.4,0,0
3/10/22,10,7.3,13.6,0,0
3/11/22,9.1,8,10.7,4.1,0
3/12/22,8.7,7.1,11,0.5,0
3/13/22,8.3,6.2,10.5,3.9,0
3/14/22,7.2,3.2,11.7,1,0
3/15/22,8.7,4.9,13.2,0,0
3/16/22,8.9,5.8,11.4,8,0
3/17/22,7.2,2.2,12.6,0,0
3/18/22,8.3,3.6,14.1,0,0
3/19/22,8.5,5.5,12.8,0,0
3/20/22,6,2.8,9.8,0,0
3/21/22,7.8,1.4,14.2,0,0
3/22/22,11.3,7,17,0,0
3/23/22,11.2,5.7,17.7,0,0
3/24/22,11.1,5.8,17.6,0,0
3/25/22,9.8,4.3,16.2,0,0
3/26/22,9.9,4.3,16.4,0,0
3/27/22,8.6,0,13.2,0,0
3/28/22,9.1,3.9,15,0.3,0
3/29/22,8.6,7.2,10.6,0.1,0
3/30/22,6.7,4,9,5.7,0
3/31/22,2.6,0.4,5.4,0.7,0
4/1/22,2.6,-0.3,6.1,1.2,0
4/2/22,2.5,-1.1,6.4,0.5,0
4/3/22,3.7,-1.3,7.9,0,0
4/4/22,8.4,4.4,12.7,2.5,0
4/5/22,11.2,8.9,14.1,0.2,0
4/6/22,9.8,7.9,11.5,6.7,0
4/7/22,8.7,5.2,11.8,3.7,0
4/8/22,5.4,2.3,8.7,2.4,0
4/9/22,5.7,1.4,9.6,0.9,0
4/10/22,6.5,0.9,11.4,0,0
4/11/22,9.8,5.2,13.6,0,0
4/12/22,12.5,9.8,16.1,4.4,0
4/13/22,12.2,8,16.5,0.8,0
4/14/22,12.4,7.2,17.1,0,0
4/15/22,13.6,8.5,19.4,0,0
4/16/22,12.6,8.1,17.9,0,0
4/17/22,11.9,7.1,16.8,0,0
4/18/22,10.9,7.2,14.9,0,0
4/19/22,10,6.3,13.6,0,0
4/20/22,10.7,6.3,15.9,0,0
4/21/22,11.4,6.6,16.8,0,0
4/22/22,10.5,7.4,13.7,0,0
4/23/22,11.5,8.1,14.9,0.1,0
4/24/22,11.5,7.5,16.2,0,0
4/25/22,8.9,4.9,12.9,1.4,0
4/26/22,8.9,4,13.6,0,0
4/27/22,8,4.6,11.5,0,0
4/28/22,8.8,4,13.9,0.3,0
4/29/22,8.2,5.5,10.9,0,0
4/30/22,9.3,2.6,14.9,0,0
5/1/22,10.4,8.4,12.6,0.4,0
5/2/22,11.4,7.9,15,0,0
5/3/22,11.2,8.6,14,0,0
5/4/22,12,8.9,15.5,5.6,0
5/5/22,12.7,7.4,17.8,0,0
5/6/22,14.4,9.2,19.6,0,0
5/7/22,13.5,10.7,16.9,2.3,0
5/8/22,11.9,7.9,16.9,0,0
5/9/22,13.5,6.2,19.4,0,0
5/10/22,15.2,12.7,18.7,0.6,0
5/11/22,12.6,10,14.7,2,0
5/12/22,12,6.9,16.3,0,10
5/13/22,13.4,8.8,18.3,0,0
5/14/22,14,7.7,19.9,0,0
5/15/22,15.7,11.7,19.4,0.9,0
5/16/22,16.5,13.6,20,0.9,0
5/17/22,17.5,11.2,23.3,1,0
5/18/22,16,10.7,20.5,4.9,0
5/19/22,16.1,13,19.9,3.6,0
5/20/22,13,10.7,15.8,3.7,0
5/21/22,13.3,8.7,17.6,0,0
